,Author,NoPapers
2461,ULKER OSMAN,0
2464,SISMAN OSMAN,0
2465,SARI OYA,0
2471,CINCIOGLU OGUZ,0
2474,KAYMAKCI OGUZ,0
2480,BAYRAM PARVANA,0
2481,YALCINOGLU PELIN,0
2482,ULUS PERVIN,0
2484,ECEVITOGLU PINAR,0
2487,BALCI RAMAZAN,0
2489,BOZKURT RAMAZAN,0
2491,DERDIMAN RAMAZAN,0
2493,DURAN RAMAZAN,0
2494,GULENDAM RAMAZAN,0
2496,GUNAY RAMAZAN,0
2501,KILICARSLAN RAMAZAN,0
2512,ZENGIN RAMAZAN,0
2515,SANLI RAMAZAN,0
2516,PARMAKSIZ RAMAZAN,0
2517,AKKAYA RANA,0
2524,ERSOY RASIT,0
2533,DUZGUN RECEP,0
2542,VARDI RECEP,0
2544,OZTAS RECEP,0
2554,UNLU RESAT,0
2557,SAY RIDAVN,0
2558,BAYIRLI RIDVAN,0
2559,CITIL RIDVAN,0
2562,BAGCI RIZA,0
2568,LACINER SAADET,0
2569,KEKLIK SAADETIN,0
2570,EYIGUN SABRI,0
2577,SARI SADETTIN,0
2580,UCAR SADIK,0
2592,SEYHAN SALIH,0
2600,OZ SALIH,0
2610,KARAHAN SAMI,0
2614,ALPAY SAVAS,0
2615,ACIKKAYA SAVAS,0
2618,KURT SAVAS,0
2621,ALMA SAIDE,0
2622,ARI SAIM,0
2629,AKKAYA SEBAHAT,0
2634,TAS SEBAHATTIN,0
2635,CELIK SEBAT,0
2637,AZAKLI SEDA,0
2638,BOZGIL SEDA,0
2646,KILINCASLAN SEDAT,0
2652,BAYHAN SEDEN,0
2653,AKKUCUK SEECKIN,0
2656,SEKIN SEFA,0
2658,KULA SEHER,0
2663,CITCI SELAHATTIN,0
2665,DUMAN SELAMI,0
2666,DUMAN SELAMI,0
2667,ERDOGAN SELEME,0
2691,ERGUL SELIM,0
2692,TOKMAK SELIM,0
2696,OZEN SELIM,0
2697,KORTUNAY SEMRA,0
2702,CEKIC SEMIN,0
2728,ERCAN SERHAT,0
2733,BAYRAKTAROGLU SERKAN,0
2745,ALTAY SERPIL,0
2746,KOCAMAN SERPIL,0
2750,BULDUK SEVDA,0
2755,OZEN SEVILAY,0
2759,TURKMEN SEYFULLAH,0
2761,SARGIN SEYIT,0
2763,DELIDUMAN SEYITHAN,0
2764,CAKMAK SEYITHAN,0
2773,KUTSAL SIDDIK,0
2780,GIREN SONGUL,0
2781,ACAR SRDAR,0
2784,SOYDEMIR SUAT,0
2790,SACAN SUNAY,0
2798,ZOROGLU SULEMAN,0
2804,BOREKCI SULEYMAN,0
2822,TERZIOGLU SULEYMAN,0
2823,SIVRI SULEYMAN,0
2825,ULUTURK SULEYMAN,0
2832,IC SULEYMAN,0
2835,BAHSI SUMEYYE,0
2836,KARACABEY SUREYYA,0
2837,UNAL SUZAN,0
2844,SARISOY SINAN,0
2851,CIFTCI SINAN,0
2852,CITCI SINAN,0
2855,GOKCESID SINEM,0
2861,DELICAY TAHSIN,0
2867,OZKAN TAHIR,0
2868,ARTUN TALAT,0
2881,KOC TAYLAN,0
2882,KARGIN TAYYIBE,0
2888,DEMIREL TEOMAN,0
2892,ONGAN TEVFIK,0
2902,EJDER TUBA,0
2905,TEMEL TUBA,0
2910,OZGISI TUNCA,0
2912,DURNA TUNCAY,0
2916,KILIC TUNCER,0
2925,CELEB TURAN,0
2930,UNIVERSITYER TURGAY,0
2932,GOKSU TURGUT,0
2935,GULSAR TUGBA,0
2939,YENICERI TULAY,0
2941,SAGLAM TULIN,0
2952,CAGATAY ULUC,0
2960,BAYTUN UGUR,0
2966,KARAAGAC UGUR,0
2975,OVACI VAHAP,0
2977,AYTEKIN VAHIT,0
2979,TANE VAHIT,0
2980,ARSLAN VASFI,0
2986,OZCAN VEDAT,0
2987,KARTALCIK VEDAT,0
2988,LACINER VEDAT,0
2991,AKSOY VELI,0
2996,KARAGOZ VELI,0
2997,MERT VELI,0
3004,ASOGLU VEYSEL,0
3008,ERGIN VEYSEL,0
3010,NARGUL VEYSEL,0
3014,ERTURK VOLKAN,0
3020,YASAR YAHYA,0
3024,GONEN YAKUP,0
3030,BAY YALCIN,0
3037,KAYMAKCI YASEMIN,0
3038,GULUM YASEMIN,0
3044,OZGUN YASEMIN,0
3046,ASLAN YASIN,0
3052,KIRILMIS YASIN,0
3056,YAYLAR YASIN,0
3073,USLU YASAR,0
3077,ACLAN YENER,0
3078,OZTURK YENER,0
3079,CEKICEL YESIM,0
3084,AKYUZ YILMAZ,0
3096,AYATA YUNUS,0
3098,EKIN YUNUS,0
3099,UCAN YUNUS,0
3108,KARACA YUNIS,0
3115,DENIZ YUSUF,0
3116,ESER YUSUF,0
3119,KARAASLAN YUSUF,0
3124,MACIT YUSUF,0
3126,PACAL YUSUF,0
3127,SAGIR YUSUF,0
3130,SOYUPEK YUSUF,0
3132,TIRASCI YUSUF,0
3140,CETINDAG YUSUF,0
3142,OZCOBAN YUSUF,0
3144,SAHHIN YUSUF,0
3145,ASLAN YUCE,0
3148,DEMIRER YUCEL,0
3158,SAYAN YUKSEL,0
3162,ACER ZABIT,0
3165,AYVAZ ZAFER,0
3167,GURLER ZAFER,0
3168,GUZEY ZAFER,0
