,SearchNames,Author,NoPapers
242,AU=KILICARSLAN ALPASLAN,KILICARSLAN ALPASLAN,11
243,AU=ERSOZLU ALPAY,ERSOZLU ALPAY,4
244,AU=HAKTANIR ALPAY,HAKTANIR ALPAY,20
245,AU=NACAR ALPER,NACAR ALPER,23
246,AU=CAN ALPER,CAN ALPER,25
247,AU=KARAHAN ALPER,KARAHAN ALPER,10
248,AU=KETEN ALPER,KETEN ALPER,15
249,AU=KUCUKDURMAZ ALPER,KUCUKDURMAZ ALPER,0
250,AU=SEVINC ALPER,SEVINC ALPER,144
251,AU=AKARSUBASI ALPER,AKARSUBASI ALPER,8
252,AU=YAZICI ALPER,YAZICI ALPER,30
253,AU=YIGIT ALPER,YIGIT ALPER,0
254,AU=CETIN ALTAN,CETIN ALTAN,9
255,AU=ACILAR ALI,ACILAR ALI,0
256,AU=ALKAN ALI,ALKAN ALI,43
257,AU=ANNAGUR ALI,ANNAGUR ALI,29
258,AU=ARASOGLU ALI,ARASOGLU ALI,5
259,AU=ARSLAN ALI,ARSLAN ALI,59
260,AU=BAL ALI,BAL ALI,12
261,AU=ASLANTAS ALI,ASLANTAS ALI,3
262,AU=AYDIN ALI,AYDIN ALI,170
263,AU=YAVUZ ALI,YAVUZ ALI,19
264,AU=AYTEKIN ALI,AYTEKIN ALI,7
265,AU=BAY ALI,BAY ALI,57
266,AU=BAYRAM ALI,BAYRAM ALI,72
267,AU=BEKTAS ALI,BEKTAS ALI,3
268,AU=KURT ALI,KURT ALI,56
269,AU=AVCI ALI,AVCI ALI,44
270,AU=BORA ALI,BORA ALI,0
271,AU=BUDAK ALI,BUDAK ALI,16
272,AU=CAN ALI,CAN ALI,26
273,AU=CAN ALI,CAN ALI,26
274,AU=EREN ALI,EREN ALI,16
275,AU=CETIN ALI,CETIN ALI,97
276,AU=DELICE ALI,DELICE ALI,20
277,AU=DURSUN ALI,DURSUN ALI,65
278,AU=DOGAN ALI,DOGAN ALI,130
279,AU=MUFTUOGLU ALI,MUFTUOGLU ALI,20
280,AU=EKIN ALI,EKIN ALI,2
281,AU=ELEREN ALI,ELEREN ALI,1
282,AU=ERAYMAN ALI,ERAYMAN ALI,11
283,AU=ERGUN ALI,ERGUN ALI,30
284,AU=ALAC ALI,ALAC ALI,0
285,AU=ERZURUMLUOGLU ALI,ERZURUMLUOGLU ALI,0
286,AU=DOGAN ALI,DOGAN ALI,130
287,AU=FILIZ ALI,FILIZ ALI,25
288,AU=ONAL ALI,ONAL ALI,6
289,AU=GURBUZ ALI,GURBUZ ALI,208
290,AU=GUVERCIN ALI,GUVERCIN ALI,7
291,AU=KARADENIZ ALI,KARADENIZ ALI,18
292,AU=KARAKUS ALI,KARAKUS ALI,32
293,AU=KARATAY ALI,KARATAY ALI,1
294,AU=KARAISA ALI,KARAISA ALI,22
295,AU=UZUNLAR ALI,UZUNLAR ALI,23
296,AU=KESKIN ALI,KESKIN ALI,68
297,AU=KORKUT ALI,KORKUT ALI,10
298,AU=KOZAN ALI,KOZAN ALI,1
299,AU=KOCYIGIT ALI,KOCYIGIT ALI,66
300,AU=KURSUN ALI,KURSUN ALI,11
301,AU=AKTAN ALI,AKTAN ALI,27
302,AU=CEYHAN ALI,CEYHAN ALI,28
303,AU=KALENDER ALI,KALENDER ALI,23
304,AU=SUNBUL ALI,SUNBUL ALI,7
305,AU=TANKUT ALI,TANKUT ALI,12
306,AU=OKUYUCU ALI,OKUYUCU ALI,33
307,AU=SOLAK ALI,SOLAK ALI,59
308,AU=SOLMAZ ALI,SOLMAZ ALI,19
309,AU=ONCEL ALI,ONCEL ALI,2
310,AU=AKTAS ALI,AKTAS ALI,10
311,AU=ARSLAN ALI,ARSLAN ALI,59
312,AU=ERDEM ALI,ERDEM ALI,51
313,AU=ERDEM ALI,ERDEM ALI,51
314,AU=SEVER ALI,SEVER ALI,71
315,AU=SEYDI ALI,SEYDI ALI,1
316,AU=TARAKCILAR ALI,TARAKCILAR ALI,9
317,AU=COBAN ALI,COBAN ALI,1
318,AU=OZDEMIR ALI,OZDEMIR ALI,66
